custom_id,id,entity_name,year,segment,original_metric,ground_truth_value
qa_38,38,AstraZeneca,2022,Balance_Sheet,Share Of Profit Loss Of Associates And Joint Ventures Accounted For Using Equity Method,-5000000.0
qa_39,39,AstraZeneca,2021,Balance_Sheet,Share Of Profit Loss Of Associates And Joint Ventures Accounted For Using Equity Method,-64000000.0
qa_40,40,AstraZeneca,2020,Balance_Sheet,Share Of Profit Loss Of Associates And Joint Ventures Accounted For Using Equity Method,-27000000.0
qa_41,41,AstraZeneca,2022,Income_Statement,Profit Loss Before Tax,2501000000.0
qa_42,42,AstraZeneca,2021,Income_Statement,Profit Loss Before Tax,-265000000.0
qa_43,43,AstraZeneca,2020,Income_Statement,Profit Loss Before Tax,3916000000.0
qa_44,44,AstraZeneca,2022,Income_Statement,Income Tax Expense Continuing Operations,-792000000.0
qa_45,45,AstraZeneca,2021,Income_Statement,Income Tax Expense Continuing Operations,-380000000.0
qa_46,46,AstraZeneca,2020,Income_Statement,Income Tax Expense Continuing Operations,772000000.0
qa_47,47,AstraZeneca,2022,Income_Statement,Profit Loss,3293000000.0
qa_48,48,AstraZeneca,2021,Income_Statement,Profit Loss,115000000.0
qa_49,49,AstraZeneca,2020,Income_Statement,Profit Loss,3144000000.0
qa_50,50,AstraZeneca,2022,Income_Statement,Other Comprehensive Income Before Tax Gains Losses On Remeasurements Of Defined Benefit Plans,1118000000.0
qa_51,51,AstraZeneca,2021,Income_Statement,Other Comprehensive Income Before Tax Gains Losses On Remeasurements Of Defined Benefit Plans,626000000.0
qa_52,52,AstraZeneca,2020,Income_Statement,Other Comprehensive Income Before Tax Gains Losses On Remeasurements Of Defined Benefit Plans,-168000000.0
qa_53,53,AstraZeneca,2022,Balance_Sheet,Other Comprehensive Income Before Tax Gains Losses From Investments In Equity Instruments,-88000000.0
qa_54,54,AstraZeneca,2021,Balance_Sheet,Other Comprehensive Income Before Tax Gains Losses From Investments In Equity Instruments,-187000000.0
qa_55,55,AstraZeneca,2020,Balance_Sheet,Other Comprehensive Income Before Tax Gains Losses From Investments In Equity Instruments,938000000.0
qa_56,56,AstraZeneca,2022,Balance_Sheet,Other Comprehensive Income Before Tax Change In Fair Value Of Financial Liability Attributable To Change In Credit Risk Of Liability,2000000.0
qa_57,57,AstraZeneca,2021,Balance_Sheet,Other Comprehensive Income Before Tax Change In Fair Value Of Financial Liability Attributable To Change In Credit Risk Of Liability,0.0
qa_58,58,AstraZeneca,2020,Balance_Sheet,Other Comprehensive Income Before Tax Change In Fair Value Of Financial Liability Attributable To Change In Credit Risk Of Liability,-1000000.0
qa_59,59,AstraZeneca,2022,Income_Statement,Income Tax Relating To Components Of Other Comprehensive Income That Will Not Be Reclassified To Profit Or Loss,216000000.0
qa_60,60,AstraZeneca,2021,Income_Statement,Income Tax Relating To Components Of Other Comprehensive Income That Will Not Be Reclassified To Profit Or Loss,-105000000.0
qa_61,61,AstraZeneca,2020,Income_Statement,Income Tax Relating To Components Of Other Comprehensive Income That Will Not Be Reclassified To Profit Or Loss,81000000.0
qa_62,62,AstraZeneca,2022,Income_Statement,Other Comprehensive Income That Will Not Be Reclassified To Profit Or Loss Net Of Tax,816000000.0
qa_63,63,AstraZeneca,2021,Income_Statement,Other Comprehensive Income That Will Not Be Reclassified To Profit Or Loss Net Of Tax,544000000.0
qa_64,64,AstraZeneca,2020,Income_Statement,Other Comprehensive Income That Will Not Be Reclassified To Profit Or Loss Net Of Tax,688000000.0
qa_65,65,AstraZeneca,2022,Company_Specific_Metric,Gains Losses On Exchange Differences On Consolidation Before Tax,-1446000000.0
qa_66,66,AstraZeneca,2021,Company_Specific_Metric,Gains Losses On Exchange Differences On Consolidation Before Tax,-483000000.0
qa_67,67,AstraZeneca,2020,Company_Specific_Metric,Gains Losses On Exchange Differences On Consolidation Before Tax,443000000.0
qa_68,68,AstraZeneca,2022,Company_Specific_Metric,Gains Losses On Exchange Difference Hedges Of Net Investments In Foreign Operations Before Tax,-282000000.0
qa_69,69,AstraZeneca,2021,Company_Specific_Metric,Gains Losses On Exchange Difference Hedges Of Net Investments In Foreign Operations Before Tax,-321000000.0
qa_70,70,AstraZeneca,2020,Company_Specific_Metric,Gains Losses On Exchange Difference Hedges Of Net Investments In Foreign Operations Before Tax,573000000.0
qa_71,71,AstraZeneca,2022,Cash_Flow,Gains Losses On Cash Flow Hedges Before Tax,-97000000.0
qa_72,72,AstraZeneca,2021,Cash_Flow,Gains Losses On Cash Flow Hedges Before Tax,-167000000.0
qa_73,73,AstraZeneca,2020,Cash_Flow,Gains Losses On Cash Flow Hedges Before Tax,180000000.0
qa_74,74,AstraZeneca,2022,Cash_Flow,Reclassification Adjustments On Cash Flow Hedges Before Tax,-73000000.0
qa_75,75,AstraZeneca,2021,Cash_Flow,Reclassification Adjustments On Cash Flow Hedges Before Tax,-208000000.0
qa_76,76,AstraZeneca,2020,Cash_Flow,Reclassification Adjustments On Cash Flow Hedges Before Tax,254000000.0
qa_77,77,AstraZeneca,2022,Income_Statement,Gains Losses On Hedges Of Net Investments In Foreign Operations Before Tax,-8000000.0
qa_78,78,AstraZeneca,2021,Income_Statement,Gains Losses On Hedges Of Net Investments In Foreign Operations Before Tax,34000000.0
qa_79,79,AstraZeneca,2020,Income_Statement,Gains Losses On Hedges Of Net Investments In Foreign Operations Before Tax,8000000.0
qa_80,80,AstraZeneca,2022,Company_Specific_Metric,Cost Of Hedging Before Tax,7000000.0
qa_81,81,AstraZeneca,2021,Company_Specific_Metric,Cost Of Hedging Before Tax,6000000.0
qa_82,82,AstraZeneca,2020,Company_Specific_Metric,Cost Of Hedging Before Tax,-9000000.0
qa_83,83,AstraZeneca,2022,Income_Statement,Income Tax Relating To Components Of Other Comprehensive Income That Will Be Reclassified To Profit Or Loss,-73000000.0
qa_84,84,AstraZeneca,2021,Income_Statement,Income Tax Relating To Components Of Other Comprehensive Income That Will Be Reclassified To Profit Or Loss,-46000000.0
qa_85,85,AstraZeneca,2020,Income_Statement,Income Tax Relating To Components Of Other Comprehensive Income That Will Be Reclassified To Profit Or Loss,39000000.0
qa_86,86,AstraZeneca,2022,Income_Statement,Other Comprehensive Income That Will Be Reclassified To Profit Or Loss Net Of Tax,-1694000000.0
qa_87,87,AstraZeneca,2021,Income_Statement,Other Comprehensive Income That Will Be Reclassified To Profit Or Loss Net Of Tax,-689000000.0
qa_88,88,AstraZeneca,2020,Income_Statement,Other Comprehensive Income That Will Be Reclassified To Profit Or Loss Net Of Tax,920000000.0
qa_89,89,AstraZeneca,2022,Income_Statement,Other Comprehensive Income,-878000000.0
qa_90,90,AstraZeneca,2021,Income_Statement,Other Comprehensive Income,-145000000.0
qa_91,91,AstraZeneca,2020,Income_Statement,Other Comprehensive Income,1608000000.0
qa_92,92,AstraZeneca,2022,Income_Statement,Comprehensive Income,2415000000.0
qa_93,93,AstraZeneca,2021,Income_Statement,Comprehensive Income,-30000000.0
qa_94,94,AstraZeneca,2020,Income_Statement,Comprehensive Income,4752000000.0
qa_95,95,AstraZeneca,2022,Income_Statement,Profit Loss Attributable To Owners Of Parent,3288000000.0
qa_96,96,AstraZeneca,2021,Income_Statement,Profit Loss Attributable To Owners Of Parent,112000000.0
qa_97,97,AstraZeneca,2020,Income_Statement,Profit Loss Attributable To Owners Of Parent,3196000000.0
qa_98,98,AstraZeneca,2022,Income_Statement,Profit Loss Attributable To Noncontrolling Interests,5000000.0
qa_99,99,AstraZeneca,2021,Income_Statement,Profit Loss Attributable To Noncontrolling Interests,3000000.0
qa_100,100,AstraZeneca,2020,Income_Statement,Profit Loss Attributable To Noncontrolling Interests,-52000000.0
qa_101,101,AstraZeneca,2022,Income_Statement,Comprehensive Income Attributable To Owners Of Parent,2413000000.0
qa_102,102,AstraZeneca,2021,Income_Statement,Comprehensive Income Attributable To Owners Of Parent,-33000000.0
qa_103,103,AstraZeneca,2020,Income_Statement,Comprehensive Income Attributable To Owners Of Parent,4804000000.0
qa_104,104,AstraZeneca,2022,Income_Statement,Comprehensive Income Attributable To Noncontrolling Interests,2000000.0
qa_105,105,AstraZeneca,2021,Income_Statement,Comprehensive Income Attributable To Noncontrolling Interests,3000000.0
qa_106,106,AstraZeneca,2020,Income_Statement,Comprehensive Income Attributable To Noncontrolling Interests,-52000000.0
qa_110,110,AstraZeneca,2022,Income_Statement,Basic Earnings Loss Per Share,2.12
qa_111,111,AstraZeneca,2021,Income_Statement,Basic Earnings Loss Per Share,0.08
qa_112,112,AstraZeneca,2020,Income_Statement,Basic Earnings Loss Per Share,2.44
qa_113,113,AstraZeneca,2022,Income_Statement,Diluted Earnings Loss Per Share,2.11
qa_114,114,AstraZeneca,2021,Income_Statement,Diluted Earnings Loss Per Share,0.08
qa_115,115,AstraZeneca,2020,Income_Statement,Diluted Earnings Loss Per Share,2.44
qa_128,128,AstraZeneca,2022,Balance_Sheet,Rightofuse Assets,942000000.0
qa_129,129,AstraZeneca,2021,Balance_Sheet,Rightofuse Assets,988000000.0
qa_130,130,AstraZeneca,2020,Balance_Sheet,Rightofuse Assets,666000000.0
qa_134,134,AstraZeneca,2022,Balance_Sheet,Intangible Assets Other Than Goodwill,39307000000.0
qa_135,135,AstraZeneca,2021,Balance_Sheet,Intangible Assets Other Than Goodwill,42387000000.0
qa_136,136,AstraZeneca,2020,Balance_Sheet,Intangible Assets Other Than Goodwill,20947000000.0
qa_137,137,AstraZeneca,2022,Balance_Sheet,Investment Accounted For Using Equity Method,76000000.0
qa_138,138,AstraZeneca,2021,Balance_Sheet,Investment Accounted For Using Equity Method,69000000.0
qa_139,139,AstraZeneca,2020,Balance_Sheet,Investment Accounted For Using Equity Method,39000000.0
qa_140,140,AstraZeneca,2022,Balance_Sheet,Noncurrent Investments Other Than Investments Accounted For Using Equity Method,1066000000.0
qa_141,141,AstraZeneca,2021,Balance_Sheet,Noncurrent Investments Other Than Investments Accounted For Using Equity Method,1168000000.0
qa_142,142,AstraZeneca,2020,Balance_Sheet,Noncurrent Investments Other Than Investments Accounted For Using Equity Method,1108000000.0
qa_143,143,AstraZeneca,2022,Balance_Sheet,Noncurrent Derivative Financial Assets,74000000.0
qa_144,144,AstraZeneca,2021,Balance_Sheet,Noncurrent Derivative Financial Assets,102000000.0
qa_145,145,AstraZeneca,2020,Balance_Sheet,Noncurrent Derivative Financial Assets,171000000.0
qa_149,149,AstraZeneca,2022,Balance_Sheet,Deferred Tax Assets,3263000000.0
qa_150,150,AstraZeneca,2021,Balance_Sheet,Deferred Tax Assets,4330000000.0
qa_151,151,AstraZeneca,2020,Balance_Sheet,Deferred Tax Assets,3438000000.0
qa_152,152,AstraZeneca,2022,Balance_Sheet,Noncurrent Assets,73890000000.0
qa_153,153,AstraZeneca,2021,Balance_Sheet,Noncurrent Assets,79119000000.0
qa_154,154,AstraZeneca,2020,Balance_Sheet,Noncurrent Assets,47185000000.0
qa_164,164,AstraZeneca,2022,Balance_Sheet,Current Derivative Financial Assets,87000000.0
qa_165,165,AstraZeneca,2021,Balance_Sheet,Current Derivative Financial Assets,83000000.0
qa_166,166,AstraZeneca,2020,Balance_Sheet,Current Derivative Financial Assets,142000000.0
qa_167,167,AstraZeneca,2022,Balance_Sheet,Intangible Assets And Goodwill,0.0
qa_168,168,AstraZeneca,2021,Balance_Sheet,Intangible Assets And Goodwill,105000000.0
qa_169,169,AstraZeneca,2020,Balance_Sheet,Intangible Assets And Goodwill,0.0
qa_170,170,AstraZeneca,2022,Balance_Sheet,Current Tax Assets,731000000.0
qa_171,171,AstraZeneca,2021,Balance_Sheet,Current Tax Assets,663000000.0
qa_172,172,AstraZeneca,2020,Balance_Sheet,Current Tax Assets,364000000.0
qa_173,173,AstraZeneca,2022,Cash_Flow,Cash And Cash Equivalents,6166000000.0
qa_174,174,AstraZeneca,2021,Cash_Flow,Cash And Cash Equivalents,6329000000.0
qa_175,175,AstraZeneca,2020,Cash_Flow,Cash And Cash Equivalents,7832000000.0
qa_176,176,AstraZeneca,2022,Balance_Sheet,Noncurrent Assets Or Disposal Groups Classified As Held For Sale Or As Held For Distribution To Owners,150000000.0
qa_177,177,AstraZeneca,2021,Balance_Sheet,Noncurrent Assets Or Disposal Groups Classified As Held For Sale Or As Held For Distribution To Owners,368000000.0
qa_178,178,AstraZeneca,2020,Balance_Sheet,Noncurrent Assets Or Disposal Groups Classified As Held For Sale Or As Held For Distribution To Owners,0.0
qa_179,179,AstraZeneca,2022,Balance_Sheet,Current Assets,22593000000.0
qa_180,180,AstraZeneca,2021,Balance_Sheet,Current Assets,26244000000.0
qa_181,181,AstraZeneca,2020,Balance_Sheet,Current Assets,19544000000.0
qa_182,182,AstraZeneca,2022,Balance_Sheet,Assets,96483000000.0
qa_183,183,AstraZeneca,2021,Balance_Sheet,Assets,105363000000.0
qa_184,184,AstraZeneca,2020,Balance_Sheet,Assets,66729000000.0
qa_188,188,AstraZeneca,2022,Balance_Sheet,Current Lease Liabilities,228000000.0
qa_189,189,AstraZeneca,2021,Balance_Sheet,Current Lease Liabilities,233000000.0
qa_190,190,AstraZeneca,2020,Balance_Sheet,Current Lease Liabilities,192000000.0
qa_194,194,AstraZeneca,2022,Balance_Sheet,Current Derivative Financial Liabilities,93000000.0
qa_195,195,AstraZeneca,2021,Balance_Sheet,Current Derivative Financial Liabilities,79000000.0
qa_196,196,AstraZeneca,2020,Balance_Sheet,Current Derivative Financial Liabilities,33000000.0
qa_200,200,AstraZeneca,2022,Balance_Sheet,Current Tax Liabilities,896000000.0
qa_201,201,AstraZeneca,2021,Balance_Sheet,Current Tax Liabilities,916000000.0
qa_202,202,AstraZeneca,2020,Balance_Sheet,Current Tax Liabilities,1127000000.0
qa_203,203,AstraZeneca,2022,Balance_Sheet,Current Liabilities,26293000000.0
qa_204,204,AstraZeneca,2021,Balance_Sheet,Current Liabilities,22594000000.0
qa_205,205,AstraZeneca,2020,Balance_Sheet,Current Liabilities,20307000000.0
qa_209,209,AstraZeneca,2022,Balance_Sheet,Noncurrent Lease Liabilities,725000000.0
qa_210,210,AstraZeneca,2021,Balance_Sheet,Noncurrent Lease Liabilities,754000000.0
qa_211,211,AstraZeneca,2020,Balance_Sheet,Noncurrent Lease Liabilities,489000000.0
qa_212,212,AstraZeneca,2022,Balance_Sheet,Noncurrent Derivative Financial Liabilities,164000000.0
qa_213,213,AstraZeneca,2021,Balance_Sheet,Noncurrent Derivative Financial Liabilities,45000000.0
qa_214,214,AstraZeneca,2020,Balance_Sheet,Noncurrent Derivative Financial Liabilities,2000000.0
qa_215,215,AstraZeneca,2022,Balance_Sheet,Deferred Tax Liabilities,2944000000.0
qa_216,216,AstraZeneca,2021,Balance_Sheet,Deferred Tax Liabilities,6206000000.0
qa_217,217,AstraZeneca,2020,Balance_Sheet,Deferred Tax Liabilities,2918000000.0
qa_218,218,AstraZeneca,2022,Balance_Sheet,Noncurrent Recognised Liabilities Defined Benefit Plan,1168000000.0
qa_219,219,AstraZeneca,2021,Balance_Sheet,Noncurrent Recognised Liabilities Defined Benefit Plan,2454000000.0
qa_220,220,AstraZeneca,2020,Balance_Sheet,Noncurrent Recognised Liabilities Defined Benefit Plan,3202000000.0
qa_227,227,AstraZeneca,2022,Balance_Sheet,Noncurrent Liabilities,33132000000.0
qa_228,228,AstraZeneca,2021,Balance_Sheet,Noncurrent Liabilities,43482000000.0
qa_229,229,AstraZeneca,2020,Balance_Sheet,Noncurrent Liabilities,30784000000.0
qa_230,230,AstraZeneca,2022,Balance_Sheet,Liabilities,59425000000.0
qa_231,231,AstraZeneca,2021,Balance_Sheet,Liabilities,66076000000.0
qa_232,232,AstraZeneca,2020,Balance_Sheet,Liabilities,51091000000.0
qa_233,233,AstraZeneca,2022,Balance_Sheet,Net Assets Liabilities,37058000000.0
qa_234,234,AstraZeneca,2021,Balance_Sheet,Net Assets Liabilities,39287000000.0
qa_235,235,AstraZeneca,2020,Balance_Sheet,Net Assets Liabilities,15638000000.0
qa_248,248,AstraZeneca,2022,Company_Specific_Metric,Other Reserves Other Than Merger And Capital Redemption Reserve,1468000000.0
qa_249,249,AstraZeneca,2021,Company_Specific_Metric,Other Reserves Other Than Merger And Capital Redemption Reserve,1444000000.0
qa_250,250,AstraZeneca,2020,Company_Specific_Metric,Other Reserves Other Than Merger And Capital Redemption Reserve,1423000000.0
qa_254,254,AstraZeneca,2022,Balance_Sheet,Equity Attributable To Owners Of Parent,37037000000.0
qa_255,255,AstraZeneca,2021,Balance_Sheet,Equity Attributable To Owners Of Parent,39268000000.0
qa_256,256,AstraZeneca,2020,Balance_Sheet,Equity Attributable To Owners Of Parent,15622000000.0
qa_260,260,AstraZeneca,2022,Balance_Sheet,Equity,37058000000.0
qa_261,261,AstraZeneca,2021,Balance_Sheet,Equity,39287000000.0
qa_262,262,AstraZeneca,2020,Balance_Sheet,Equity,15638000000.0
qa_264,264,AstraZeneca,2019,Balance_Sheet,Equity,328000000.0
qa_265,265,AstraZeneca,2020,Company_Specific_Metric,Increase Decrease Through Transfer Between Other Reserves And Retained Earnings Equity,0.0
qa_266,266,AstraZeneca,2020,Company_Specific_Metric,Dividends Recognised As Distributions To Owners Of Parent Net Of Forfeiture,0.0
qa_267,267,AstraZeneca,2020,Balance_Sheet,Issue Of Equity,0.0
qa_269,269,AstraZeneca,2020,Company_Specific_Metric,Settlement Of Share Plan Awards Equity,0.0
qa_270,270,AstraZeneca,2020,Balance_Sheet,Changes In Equity,0.0
qa_271,271,AstraZeneca,2021,Company_Specific_Metric,Increase Decrease Through Transfer Between Other Reserves And Retained Earnings Equity,0.0
qa_272,272,AstraZeneca,2021,Company_Specific_Metric,Dividends Recognised As Distributions To Owners Of Parent Net Of Forfeiture,0.0
qa_273,273,AstraZeneca,2021,Balance_Sheet,Issue Of Equity,59000000.0
qa_275,275,AstraZeneca,2021,Company_Specific_Metric,Settlement Of Share Plan Awards Equity,0.0
qa_276,276,AstraZeneca,2021,Company_Specific_Metric,Issue Of Replacement Alexion Share Awards Upon Acquisition,0.0
qa_277,277,AstraZeneca,2021,Balance_Sheet,Changes In Equity,59000000.0
qa_278,278,AstraZeneca,2022,Company_Specific_Metric,Increase Decrease Through Transfer Between Other Reserves And Retained Earnings Equity,0.0
qa_279,279,AstraZeneca,2022,Company_Specific_Metric,Dividends Recognised As Distributions To Owners Of Parent Net Of Forfeiture,0.0
qa_280,280,AstraZeneca,2022,Balance_Sheet,Issue Of Equity,0.0
qa_282,282,AstraZeneca,2022,Company_Specific_Metric,Settlement Of Share Plan Awards Equity,0.0
qa_283,283,AstraZeneca,2022,Balance_Sheet,Changes In Equity,0.0
qa_285,285,AstraZeneca,2022,Income_Statement,Finance Income Cost,-1251000000.0
qa_286,286,AstraZeneca,2021,Income_Statement,Finance Income Cost,-1257000000.0
qa_287,287,AstraZeneca,2020,Income_Statement,Finance Income Cost,-1219000000.0
qa_288,288,AstraZeneca,2022,Income_Statement,Depreciation Amortisation And Impairment Loss Reversal Of Impairment Loss Recognised In Profit Or Loss,5480000000.0
qa_289,289,AstraZeneca,2021,Income_Statement,Depreciation Amortisation And Impairment Loss Reversal Of Impairment Loss Recognised In Profit Or Loss,6530000000.0
qa_290,290,AstraZeneca,2020,Income_Statement,Depreciation Amortisation And Impairment Loss Reversal Of Impairment Loss Recognised In Profit Or Loss,3149000000.0
qa_297,297,AstraZeneca,2022,Company_Specific_Metric,Adjustments For Increase Decrease In Trade Other Payables And Provisions,1165000000.0
qa_298,298,AstraZeneca,2021,Company_Specific_Metric,Adjustments For Increase Decrease In Trade Other Payables And Provisions,1405000000.0
qa_299,299,AstraZeneca,2020,Company_Specific_Metric,Adjustments For Increase Decrease In Trade Other Payables And Provisions,1721000000.0
qa_300,300,AstraZeneca,2022,Company_Specific_Metric,Adjustments For Losses Gains On Disposal Of Intangible Asset,-104000000.0
qa_301,301,AstraZeneca,2021,Company_Specific_Metric,Adjustments For Losses Gains On Disposal Of Intangible Asset,-513000000.0
qa_302,302,AstraZeneca,2020,Company_Specific_Metric,Adjustments For Losses Gains On Disposal Of Intangible Asset,-1030000000.0
qa_303,303,AstraZeneca,2022,Income_Statement,Adjustments For Gain Loss On Disposal Of Investments In Subsidiaries Joint Ventures And Associates,0.0
qa_304,304,AstraZeneca,2021,Income_Statement,Adjustments For Gain Loss On Disposal Of Investments In Subsidiaries Joint Ventures And Associates,776000000.0
qa_305,305,AstraZeneca,2020,Income_Statement,Adjustments For Gain Loss On Disposal Of Investments In Subsidiaries Joint Ventures And Associates,0.0
qa_306,306,AstraZeneca,2022,Company_Specific_Metric,Contingent Consideration Fair Value Movement,82000000.0
qa_307,307,AstraZeneca,2021,Company_Specific_Metric,Contingent Consideration Fair Value Movement,14000000.0
qa_308,308,AstraZeneca,2020,Company_Specific_Metric,Contingent Consideration Fair Value Movement,-272000000.0
qa_309,309,AstraZeneca,2022,Cash_Flow,Other Adjustments For Noncash Items,-692000000.0
qa_310,310,AstraZeneca,2021,Cash_Flow,Other Adjustments For Noncash Items,95000000.0
qa_311,311,AstraZeneca,2020,Cash_Flow,Other Adjustments For Noncash Items,-276000000.0
qa_312,312,AstraZeneca,2022,Cash_Flow,Cash Flows From Used In Operations,12280000000.0
qa_313,313,AstraZeneca,2021,Cash_Flow,Cash Flows From Used In Operations,8427000000.0
qa_314,314,AstraZeneca,2020,Cash_Flow,Cash Flows From Used In Operations,7094000000.0
qa_315,315,AstraZeneca,2022,Cash_Flow,Interest Paid Classified As Operating Activities,849000000.0
qa_316,316,AstraZeneca,2021,Cash_Flow,Interest Paid Classified As Operating Activities,721000000.0
qa_317,317,AstraZeneca,2020,Cash_Flow,Interest Paid Classified As Operating Activities,733000000.0
qa_318,318,AstraZeneca,2022,Cash_Flow,Income Taxes Paid Refund Classified As Operating Activities,1623000000.0
qa_319,319,AstraZeneca,2021,Cash_Flow,Income Taxes Paid Refund Classified As Operating Activities,1743000000.0
qa_320,320,AstraZeneca,2020,Cash_Flow,Income Taxes Paid Refund Classified As Operating Activities,1562000000.0
qa_321,321,AstraZeneca,2022,Cash_Flow,Cash Flows From Used In Operating Activities,9808000000.0
qa_322,322,AstraZeneca,2021,Cash_Flow,Cash Flows From Used In Operating Activities,5963000000.0
qa_323,323,AstraZeneca,2020,Cash_Flow,Cash Flows From Used In Operating Activities,4799000000.0
qa_324,324,AstraZeneca,2022,Cash_Flow,Cash Flows Used In Obtaining Control Of Subsidiaries Or Other Businesses Classified As Investing Activities,48000000.0
qa_325,325,AstraZeneca,2021,Cash_Flow,Cash Flows Used In Obtaining Control Of Subsidiaries Or Other Businesses Classified As Investing Activities,9263000000.0
qa_326,326,AstraZeneca,2020,Cash_Flow,Cash Flows Used In Obtaining Control Of Subsidiaries Or Other Businesses Classified As Investing Activities,0.0
qa_327,327,AstraZeneca,2022,Company_Specific_Metric,Payments Upon Vesting Of Employee Share Awards Attributable To Business Combinations,215000000.0
qa_328,328,AstraZeneca,2021,Company_Specific_Metric,Payments Upon Vesting Of Employee Share Awards Attributable To Business Combinations,211000000.0
qa_329,329,AstraZeneca,2020,Company_Specific_Metric,Payments Upon Vesting Of Employee Share Awards Attributable To Business Combinations,0.0
qa_330,330,AstraZeneca,2022,Company_Specific_Metric,Contingent Consideration Payment Business Combinations Classified As Investing Activities,772000000.0
qa_331,331,AstraZeneca,2021,Company_Specific_Metric,Contingent Consideration Payment Business Combinations Classified As Investing Activities,643000000.0
qa_332,332,AstraZeneca,2020,Company_Specific_Metric,Contingent Consideration Payment Business Combinations Classified As Investing Activities,822000000.0
qa_333,333,AstraZeneca,2022,Cash_Flow,Purchase Of Property Plant And Equipment Classified As Investing Activities,1091000000.0
qa_334,334,AstraZeneca,2021,Cash_Flow,Purchase Of Property Plant And Equipment Classified As Investing Activities,1091000000.0
qa_335,335,AstraZeneca,2020,Cash_Flow,Purchase Of Property Plant And Equipment Classified As Investing Activities,961000000.0
qa_336,336,AstraZeneca,2022,Cash_Flow,Proceeds From Sales Of Property Plant And Equipment Classified As Investing Activities,282000000.0
qa_337,337,AstraZeneca,2021,Cash_Flow,Proceeds From Sales Of Property Plant And Equipment Classified As Investing Activities,13000000.0
qa_338,338,AstraZeneca,2020,Cash_Flow,Proceeds From Sales Of Property Plant And Equipment Classified As Investing Activities,106000000.0
qa_339,339,AstraZeneca,2022,Cash_Flow,Purchase Of Intangible Assets Classified As Investing Activities,1480000000.0
qa_340,340,AstraZeneca,2021,Cash_Flow,Purchase Of Intangible Assets Classified As Investing Activities,1109000000.0
qa_341,341,AstraZeneca,2020,Cash_Flow,Purchase Of Intangible Assets Classified As Investing Activities,1645000000.0
qa_342,342,AstraZeneca,2022,Cash_Flow,Proceeds From Sales Of Intangible Assets Classified As Investing Activities,447000000.0
qa_343,343,AstraZeneca,2021,Cash_Flow,Proceeds From Sales Of Intangible Assets Classified As Investing Activities,587000000.0
qa_344,344,AstraZeneca,2020,Cash_Flow,Proceeds From Sales Of Intangible Assets Classified As Investing Activities,951000000.0
qa_345,345,AstraZeneca,2022,Company_Specific_Metric,Inflows Outflows Of Cash Related To Profit Participation Liability Classified As Investing Activities,0.0
qa_346,346,AstraZeneca,2021,Company_Specific_Metric,Inflows Outflows Of Cash Related To Profit Participation Liability Classified As Investing Activities,20000000.0
qa_347,347,AstraZeneca,2020,Company_Specific_Metric,Inflows Outflows Of Cash Related To Profit Participation Liability Classified As Investing Activities,40000000.0
qa_348,348,AstraZeneca,2022,Cash_Flow,Purchase Of Other Longterm Assets Classified As Investing Activities,45000000.0
