entity,year,question,ground_truth,model,provider,model_answer,confidence,reasoning,full_answer
AstraZeneca,2022,What were AstraZeneca's Noncurrent Liabilities in 2022?,33132000000.0,llama-3.3-70b-versatile,groq,33132000000.0,100,The value of AstraZeneca's Noncurrent Liabilities in 2022 is directly stated in the provided financial statement as 33132000000.0.,"{'answer': '33132000000.0', 'confidence': 100, 'reasoning': 'The value of AstraZeneca\'s Noncurrent Liabilities in 2022 is directly stated in the provided financial statement as 33132000000.0.'}"
AstraZeneca,2022,What were AstraZeneca's Noncurrent Liabilities in 2022?,33132000000.0,openai/gpt-oss-120b,groq,33132000000.0,95,"The consolidated balance sheet excerpt explicitly lists AstraZeneca's Noncurrent Liabilities for 2022 as 33132000000.0, which directly answers the question.","{
  ""answer"": ""33,132,000,000.0"",
  ""confidence"": 95,
  ""reasoning"": ""The consolidated balance sheet excerpt explicitly lists AstraZeneca's Noncurrent Liabilities for 2022 as 33132000000.0, which directly answers the question.""
}"
GSK,2024,What was the amount reported for Proceeds From Sales Of Investments Accounted For Using Equity Method by GSK in 2024?,0.0,llama-3.3-70b-versatile,groq,0.0,100,The financial statement explicitly states the amount reported for Proceeds From Sales Of Investments Accounted For Using Equity Method by GSK in 2024 as 0.0.,"{'answer': '0.0', 'confidence': 100, 'reasoning': 'The financial statement explicitly states the amount reported for Proceeds From Sales Of Investments Accounted For Using Equity Method by GSK in 2024 as 0.0.'}"
GSK,2024,What was the amount reported for Proceeds From Sales Of Investments Accounted For Using Equity Method by GSK in 2024?,0.0,openai/gpt-oss-120b,groq,0.0,98,"The consolidated balance sheet excerpt explicitly lists 'Proceeds From Sales Of Investments Accounted For Using Equity Method: 0.0', providing a direct figure without ambiguity.","{
  ""answer"": ""0.0"",
  ""confidence"": 98,
  ""reasoning"": ""The consolidated balance sheet excerpt explicitly lists 'Proceeds From Sales Of Investments Accounted For Using Equity Method: 0.0', providing a direct figure without ambiguity.""
}"
GSK,2024,What was GSK's Comprehensive Income for the year 2024?,2778000000.0,llama-3.3-70b-versatile,groq,2778000000.0,100,The Comprehensive Income for GSK in 2024 is directly stated in the provided financial statement as 2778000000.0.,"{'answer': '2778000000.0', 'confidence': 100, 'reasoning': 'The Comprehensive Income for GSK in 2024 is directly stated in the provided financial statement as 2778000000.0.'}"
GSK,2024,What was GSK's Comprehensive Income for the year 2024?,2778000000.0,openai/gpt-oss-120b,groq,2778000000.0,95,"The consolidated income statement excerpt explicitly lists GSK's Comprehensive Income for 2024 as 2,778,000,000.0. This figure is directly provided, so the confidence is very high.","{
  ""answer"": 2778000000.0,
  ""confidence"": 95,
  ""reasoning"": ""The consolidated income statement excerpt explicitly lists GSK's Comprehensive Income for 2024 as 2,778,000,000.0. This figure is directly provided, so the confidence is very high.""
}"
AstraZeneca,2021,What was the amount reported by AstraZeneca for Adjustments For Depreciation And Amortisation Expense And Impairment Loss Reversal Of Impairment Loss Recognised In Profit Or Loss in the year 2021?,6530000000.0,llama-3.3-70b-versatile,groq,6530000000.0,100,The amount is directly stated in the provided financial statement excerpt from AstraZeneca's 2021 consolidated income statement.,"{'answer': '6530000000.0', 'confidence': 100, 'reasoning': 'The amount is directly stated in the provided financial statement excerpt from AstraZeneca\'s 2021 consolidated income statement.'}"
AstraZeneca,2021,What was the amount reported by AstraZeneca for Adjustments For Depreciation And Amortisation Expense And Impairment Loss Reversal Of Impairment Loss Recognised In Profit Or Loss in the year 2021?,6530000000.0,openai/gpt-oss-120b,groq,6530000000.0,95,The amount is,"{
  ""answer"": ""6,530,000,000.0"",
  ""confidence"": 95,
  ""reasoning"": ""The amount is"
AstraZeneca,2020,What was AstraZeneca's Diluted Earnings Loss Per Share in the year 2020?,2.44,llama-3.3-70b-versatile,groq,2.44,100,The value is directly stated in the provided financial statement as the Diluted Earnings Loss Per Share for AstraZeneca in 2020.,"{'answer': 2.44, 'confidence': 100, 'reasoning': 'The value is directly stated in the provided financial statement as the Diluted Earnings Loss Per Share for AstraZeneca in 2020.'}"
AstraZeneca,2020,What was AstraZeneca's Diluted Earnings Loss Per Share in the year 2020?,2.44,openai/gpt-oss-120b,groq,2.44,95,"The financial statement excerpt explicitly lists 'Diluted Earnings Loss Per Share: 2.44' for AstraZeneca in 2020, providing a direct and unambiguous source for the figure.","{
  ""answer"": ""2.44"",
  ""confidence"": 95,
  ""reasoning"": ""The financial statement excerpt explicitly lists 'Diluted Earnings Loss Per Share: 2.44' for AstraZeneca in 2020, providing a direct and unambiguous source for the figure.""
}"
